Subsystem;Name;VID;DataType;VariableType;Unit;Description;HOST Changeable
GeminiFB;AlarmCode;1;U1;DataVariable;;Alarmcode of the last alarm which was set or cleared;not applicable
GeminiFB;AlarmID;2;U4;DataVariable;;ALID of the last alarm which was set or cleared;not applicable
GeminiFB;AlarmsEnabled;3;List;StatusVariable;;List containing ALIDs of all enabled alarms;not applicable
GeminiFB;AlarmsSet;4;List;StatusVariable;;List containing ALIDs of all alarms which are currently set;not applicable
GeminiFB;AlarmText;5;ASCII;DataVariable;;Alarmtext of the last alarm which was set or cleared;not applicable
GeminiFB;AnnotatedEventReport;6;Boolean;EquipmentConstant;;Value indicating the mode of sending collectionEvents: False=S6F11, True=S6F13 (with variableIDs contained in reports);False
GeminiFB;CarrierID;7;ASCII;DataVariable;;CarrierID after loading/unloading a placed carrier;not applicable
GeminiFB;Clock;8;ASCII;StatusVariable;;Variable which shows the current time;not applicable
GeminiFB;ClockOffsetTicks;9;I8;StatusVariable;;Variable which shows the current time offset;not applicable
GeminiFB;ControlCurrState;10;ASCII;StatusVariable;;StateId of the current state of the Control state machine  The value will correspond with the ControlState (with strings instead of numbers) with the exception of NoState;not applicable
GeminiFB;ControlPrevState;11;ASCII;StatusVariable;;StateId of the previous state of the Control state machine;not applicable
GeminiFB;ControlState;12;U1;StatusVariable;;State of the ControlState-statemachine: 1=OfflineEquipment, 2=AttemptOnline, 3=OfflineHost, 4=OnlineLocal, 5=OnlineRemote;not applicable
GeminiFB;CurrentUserGroup;13;ASCII;StatusVariable;;User group of currently logged in user.;not applicable
GeminiFB;CurrentUserName;14;ASCII;StatusVariable;;Name of currently logged in user.;not applicable
GeminiFB;EstablishCommunicationsTimeout;15;U2;EquipmentConstant;;Timeout in sec for establishing communication;False
GeminiFB;EventsEnabled;16;List;StatusVariable;;List containing CEIDs of all enabled events;not applicable
GeminiFB;LoadPortID;17;ASCII;DataVariable;;LoadPortID of the last Loadport-CollectionEvent;not applicable
GeminiFB;OperatingHours.Runtime;18;F8;StatusVariable;s;Specifies the runtime of the counter (a runtime of zero means infinite).;not applicable
GeminiFB;OperatorCommandText;19;ASCII;DataVariable;;Describes the performed action of an 'operator command issued'-event;not applicable
GeminiFB;PortID;20;U4;DataVariable;;LoadPortID of the last Loadport-CollectionEvent;not applicable
GeminiFB;PPChangeName;21;ASCII;DataVariable;;Name of created/modified/delete recipe;not applicable
GeminiFB;PPChangeStatus;22;I4;DataVariable;;Action of change 1=created, 2=modified, 3=deleted;not applicable
GeminiFB;PreviousProcessState;23;U1;StatusVariable;;Previous process state of the equipment.  This parameter corresponds to the E30 PreviousProcessState SV;not applicable
GeminiFB;PrJobID;24;ASCII;DataVariable;;Process Job ID;not applicable
GeminiFB;ProcessDurableID;25;ASCII;DataVariable;;ID of ProcessDurable;not applicable
GeminiFB;ProcessDurableName;26;ASCII;DataVariable;;Name of ProcessDurable;not applicable
GeminiFB;ProcessedEntityRecipe;27;ASCII;StatusVariable;;Recipe name with namespace and version;not applicable
GeminiFB;ProcessedEntityRelatedMaterials;28;ASCII;StatusVariable;;Summary description of merged materials;not applicable
GeminiFB;ProcessingCurrState;29;ASCII;StatusVariable;;Processing state of the equipment. Corresponds to E164 ProcessingState SV;not applicable
GeminiFB;ProcessingPrevState;30;ASCII;StatusVariable;;Previous processing state of the equipment. Corresponds to E164 ProcessingPrevState SV;not applicable
GeminiFB;ProcessState;31;U1;StatusVariable;;Processing state of the equipment.  This parameter corresponds to the E30 ProcessState SV;not applicable
GeminiFB;PrRecipe;32;ASCII;DataVariable;;Recipe of Process Job;not applicable
GeminiFB;SubstrateID0;33;ASCII;DataVariable;;Substrate ID of bottom substrate;not applicable
GeminiFB;SubstrateID1;34;ASCII;DataVariable;;Substrate ID of middle or top substrate;not applicable
GeminiFB;SubstrateID2;35;ASCII;DataVariable;;Substrate ID of top substrate;not applicable
GeminiFB;TimeFormat;36;U1;EquipmentConstant;;Value indicating the general timeformat: 0='yymmddhhmmss', 1='YYYYMMDDhhmmsscc';True
GeminiFB;WaferMap;37;ASCII;DataVariable;;WaferMap-String after loading a carrier: 0=undefined, 1=empty, 3=loaded, 4=double slotted, 5=cross slotted;not applicable
GeminiFB;RecipeModuleID;38;I4;EquipmentConstant;;ID of the module active for recipemanagement;True
GeminiFB;EnableSpooling;39;Boolean;EquipmentConstant;;Indicates if spooling can be activated or not;True
GeminiFB;MaxSpoolTransmit;40;U4;EquipmentConstant;;Max. number of messages to be transmitted for one single S6F23 message;True
GeminiFB;OverWriteSpool;41;Boolean;EquipmentConstant;;Indicates if messages should be overwritten when spool store is full;True
GeminiFB;SourceMaterialLocation;42;ASCII;DataVariable;;Source MaterialLocation of material;not applicable
GeminiFB;SpoolCountActual;43;U4;StatusVariable;;Number of messages currently in spool-store;not applicable
GeminiFB;SpoolCountTotal;44;U4;StatusVariable;;Total Number of messages which were spooled (incl. overwritten messages);not applicable
GeminiFB;SpoolFullTime;45;ASCII;StatusVariable;;Timestamp when the spool last became full;not applicable
GeminiFB;SpoolStartTime;46;ASCII;StatusVariable;;Timestamp when spooling was last activated;not applicable
GeminiFB;TargetMaterialLocation;47;ASCII;DataVariable;;Target MaterialLocation of material;not applicable
GeminiFB;Branding;48;U1;EquipmentConstant;;Specifies the branding of the equipment.;False
GeminiFB;DataUnitMapping;49;List;EquipmentConstant;;Gives the possibility to customize data units across the equipment software.;False
GeminiFB;DisplayName;50;ASCII;EquipmentConstant;;Specifies the text which is used instead of the internal name when the element's name is somewhere displayed.;False
GeminiFB;MaterialSpecifications;51;List;EquipmentConstant;;The supported material specifications of the equipment.;False
GeminiFB;Product;52;List;EquipmentConstant;;Specifies the kind of equipment.;False
GeminiFB;SerialNumber;53;ASCII;EquipmentConstant;;Specifies the serial number of the equipment.;False
GeminiFB;ConfigurationChangedConfirmingUser;54;ASCII;DataVariable;;Name of user that confirmed the equipment configuration parameter change;not applicable
GeminiFB;ConfigurationChangedElementName;55;ASCII;DataVariable;;Name of changed equipment element;not applicable
GeminiFB;ConfigurationChangedNewValue;56;ASCII;DataVariable;;New value of equipment configuration parameter;not applicable
GeminiFB;ConfigurationChangedParameterName;57;ASCII;DataVariable;;Name of changed equipment configuration parameter;not applicable
GeminiFB;ConfigurationChangedPreviousValue;58;ASCII;DataVariable;;Previous value of equipment configuration parameter;not applicable
GeminiFB;ConfigurationChangedReason;59;ASCII;DataVariable;;Reason of equipment configuration parameter change entered by user.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.BSRSystem.DispenseLine01.FlowmeterFlowMeterValueAvg;10001;F8;DataVariable;l;The integrated arithmetic mean (average) of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.BSRSystem.DispenseLine01.FlowmeterFlowMeterValueMax;10002;F4;DataVariable;l/min;The maximum of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.BSRSystem.DispenseLine01.FlowmeterFlowMeterValueMin;10003;F4;DataVariable;l/min;The minimum of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.BSRSystem.DispenseLine01.FlowmeterFlowMeterValueSum;10004;F8;DataVariable;l;The integrated sum of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.ChamberDispenseSystem.DispenseLine01.FlowmeterFlowMeterValueAvg;10005;F8;DataVariable;l;The integrated arithmetic mean (average) of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.ChamberDispenseSystem.DispenseLine01.FlowmeterFlowMeterValueMax;10006;F4;DataVariable;l/min;The maximum of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.ChamberDispenseSystem.DispenseLine01.FlowmeterFlowMeterValueMin;10007;F4;DataVariable;l/min;The minimum of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.ChamberDispenseSystem.DispenseLine01.FlowmeterFlowMeterValueSum;10008;F8;DataVariable;l;The integrated sum of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.CommandedAxisVelocity Avg;10009;F8;DataVariable;rpm;The integrated arithmetic mean (average) of all acquired data values: CommandedAxisVelocity of SpinnerChuck in rpm.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.CommandedAxisVelocity Max;10010;I8;DataVariable;rpm;The maximum of all acquired data values: CommandedAxisVelocity of SpinnerChuck in rpm.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.CommandedAxisVelocity Min;10011;I8;DataVariable;rpm;The minimum of all acquired data values: CommandedAxisVelocity of SpinnerChuck in rpm.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.ControlJobID;10012;ASCII;DataVariable;;The ID of the control job to which the material is related.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.CurrentAxisVelocity Avg;10013;F8;DataVariable;rpm;The integrated arithmetic mean (average) of all acquired data values: CurrentAxisVelocity of SpinnerChuck in rpm.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.CurrentAxisVelocity Max;10014;I8;DataVariable;rpm;The maximum of all acquired data values: CurrentAxisVelocity of SpinnerChuck in rpm.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.CurrentAxisVelocity Min;10015;I8;DataVariable;rpm;The minimum of all acquired data values: CurrentAxisVelocity of SpinnerChuck in rpm.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.DispenseArm.DispenseLine01.FlowmeterFlowMeterValueAvg;10016;F8;DataVariable;l;The integrated arithmetic mean (average) of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.DispenseArm.DispenseLine01.FlowmeterFlowMeterValueMax;10017;F4;DataVariable;l/min;The maximum of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.DispenseArm.DispenseLine01.FlowmeterFlowMeterValueMin;10018;F4;DataVariable;l/min;The minimum of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.DispenseArm.DispenseLine01.FlowmeterFlowMeterValueSum;10019;F8;DataVariable;l;The integrated sum of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.DispenseArm.DispenseLine03.FlowmeterFlowMeterValueAvg;10028;F8;DataVariable;l;The integrated arithmetic mean (average) of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.DispenseArm.DispenseLine03.FlowmeterFlowMeterValueMax;10029;F4;DataVariable;l/min;The maximum of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.DispenseArm.DispenseLine03.FlowmeterFlowMeterValueMin;10030;F4;DataVariable;l/min;The minimum of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.DispenseArm.DispenseLine03.FlowmeterFlowMeterValueSum;10031;F8;DataVariable;l;The integrated sum of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.DispenseArm.DispenseLine04.FlowmeterFlowMeterValueAvg;10032;F8;DataVariable;l;The integrated arithmetic mean (average) of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.DispenseArm.DispenseLine04.FlowmeterFlowMeterValueMax;10033;F4;DataVariable;l/min;The maximum of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.DispenseArm.DispenseLine04.FlowmeterFlowMeterValueMin;10034;F4;DataVariable;l/min;The minimum of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.DispenseArm.DispenseLine04.FlowmeterFlowMeterValueSum;10035;F8;DataVariable;l;The integrated sum of all acquired data values: Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Duration;10036;I4;DataVariable;ms;The time span between the end and start collection event.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.ForwardPower Avg;10037;F8;DataVariable;W;The integrated arithmetic mean (average) of all acquired data values: ForwardPower of MegasonicAreaTransducer in W.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.ForwardPower Max;10038;F8;DataVariable;W;The maximum of all acquired data values: ForwardPower of MegasonicAreaTransducer in W.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.ForwardPower Min;10039;F8;DataVariable;W;The minimum of all acquired data values: ForwardPower of MegasonicAreaTransducer in W.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Impedance Avg;10040;F8;DataVariable;Ω;The integrated arithmetic mean (average) of all acquired data values: Impedance of MegasonicAreaTransducer in Ω.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Impedance Max;10041;F8;DataVariable;Ω;The maximum of all acquired data values: Impedance of MegasonicAreaTransducer in Ω.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Impedance Min;10042;F8;DataVariable;Ω;The minimum of all acquired data values: Impedance of MegasonicAreaTransducer in Ω.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.ProcessJobID;10043;ASCII;DataVariable;;The ID of the process job to which the material is related.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.ReflectedPower Avg;10044;F8;DataVariable;W;The integrated arithmetic mean (average) of all acquired data values: ReflectedPower of MegasonicAreaTransducer in W.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.ReflectedPower Max;10045;F8;DataVariable;W;The maximum of all acquired data values: ReflectedPower of MegasonicAreaTransducer in W.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.ReflectedPower Min;10046;F8;DataVariable;W;The minimum of all acquired data values: ReflectedPower of MegasonicAreaTransducer in W.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Substrate.AcquiredID;10047;ASCII;DataVariable;;The acquired ID of the substrate.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Substrate.LotID;10048;ASCII;DataVariable;;The lot ID of the lot to which the substrate is related.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Substrate.Name;10049;ASCII;DataVariable;;The name of the substrate.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Substrate.RecipeName;10050;ASCII;DataVariable;;The name of the recipe.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Substrate.SourceID;10051;ASCII;DataVariable;;The ID of the source carrier.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Substrate.SourceSlot;10052;ASCII;DataVariable;;The slot of the source carrier.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Temperature0 Avg;10053;F8;DataVariable;°C;The integrated arithmetic mean (average) of all acquired data values: Temperature0 of MegasonicAreaTransducer in °C.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Temperature0 Max;10054;F8;DataVariable;°C;The maximum of all acquired data values: Temperature0 of MegasonicAreaTransducer in °C.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Temperature0 Min;10055;F8;DataVariable;°C;The minimum of all acquired data values: Temperature0 of MegasonicAreaTransducer in °C.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Temperature1 Avg;10056;F8;DataVariable;°C;The integrated arithmetic mean (average) of all acquired data values: Temperature1 of MegasonicAreaTransducer in °C.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Temperature1 Max;10057;F8;DataVariable;°C;The maximum of all acquired data values: Temperature1 of MegasonicAreaTransducer in °C.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Temperature1 Min;10058;F8;DataVariable;°C;The minimum of all acquired data values: Temperature1 of MegasonicAreaTransducer in °C.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Temperature2 Avg;10059;F8;DataVariable;°C;The integrated arithmetic mean (average) of all acquired data values: Temperature2 of MegasonicAreaTransducer in °C.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Temperature2 Max;10060;F8;DataVariable;°C;The maximum of all acquired data values: Temperature2 of MegasonicAreaTransducer in °C.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Temperature2 Min;10061;F8;DataVariable;°C;The minimum of all acquired data values: Temperature2 of MegasonicAreaTransducer in °C.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Temperature3 Avg;10062;F8;DataVariable;°C;The integrated arithmetic mean (average) of all acquired data values: Temperature3 of MegasonicAreaTransducer in °C.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Temperature3 Max;10063;F8;DataVariable;°C;The maximum of all acquired data values: Temperature3 of MegasonicAreaTransducer in °C.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Temperature3 Min;10064;F8;DataVariable;°C;The minimum of all acquired data values: Temperature3 of MegasonicAreaTransducer in °C.;not applicable
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;BrushOffSpinnerSpeed;10065;U4;EquipmentConstant;rpm;Enter the spinner speed in rpm when the brush should be stopped in process to avoid splashes from the brush onto the substrate.;False
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;EnableSplineRecipeCommands;10066;Boolean;EquipmentConstant;;Flag if recipecommands should be available which use spline movement in motioncontroller.;False
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;LockDoorForLoadingUnloading;10067;Boolean;EquipmentConstant;;Setting if safety door must be closed and locked during loading / unloading. Correlates with setting 'Lock on Hand Over' / 'Lock on Take Over' of Robot EE Location.;False
GeminiFB.PP1.A.CLM.BowlwashSystem;BowlwashCounterLimit;10068;I8;EquipmentConstant;;A bowlwash maintenance recipe should be ran after the bowlwash counter exceeds this threshold value which represents the number of module processes. Execution of a bowlwash maintenance recipe will reset the bowlwash counter.;False
GeminiFB.PP1.A.CLM.BowlwashSystem.DispenseLine01;DispenseSystemName;10071;ASCII;EquipmentConstant;;;False
GeminiFB.PP1.A.CLM.BowlwashSystem;EnableBowlwashCounter;10072;Boolean;EquipmentConstant;;Enable or disable bowlwash counter functionality.;False
GeminiFB.PP1.A.CLM.BSRSystem.BSRConfiguration1;ToolingConfigurationName;10073;ASCII;EquipmentConstant;;Name of tooling configuration.;False
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01;DispenseSystemName;10074;ASCII;EquipmentConstant;;;False
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter;Dispensevolume.Count;10075;F8;StatusVariable;ml;The current value of the counter.;not applicable
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter;Dispensevolume.Cycle;10076;F8;StatusVariable;ml;Specifies the cycle of the counter (a cycle of zero means infinite).;not applicable
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;CheckDelay;10077;U4;EquipmentConstant;ms;Specify the delay between 2 flow value checks.Unit: milliseconds;False
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;CheckDelayStart;10078;U4;EquipmentConstant;ms;Specify the delay between dispense start and beginning of flow value check. With this delay you can wait for flow/pressure to build up before starting check.Unit: milliseconds;False
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;InterruptLoad;10079;Boolean;EquipmentConstant;;Set this to true to interrupt load of substrate in case of an error.;False
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;InterruptNextProcessStep;10080;Boolean;EquipmentConstant;;Set this to true to interrupt execution of next recipe step in case of an error.;False
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;InterruptUnload;10081;Boolean;EquipmentConstant;;Set this to true to interrupt unload of substrate in case of an error.;False
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;MaxIdleFlow;10082;F4;EquipmentConstant;l/min;Specify the max idle flow value for the check which shouldn't be exceeded during idle (=bypass active). Applicable for bypassable dispense systems.Unit: l/min;False
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;MaxProcessFlow;10083;F4;EquipmentConstant;l/min;Specify the max process flow value for the check which shouldn't be exceeded.Unit: l/min;False
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;MinIdleFlow;10084;F4;EquipmentConstant;l/min;Specify the min idle flow value for the check which must be reached during idle (=bypass active). Applicable for bypassable dispense systems.Unit: l/min;False
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;MinProcessFlow;10085;F4;EquipmentConstant;l/min;Specify the min process flow value for the check which must be reached during process.Unit: l/min;False
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter;FlowMeterValue;10086;F4;StatusVariable;l/min;Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter.Gauge - Flowmeter - Flow;Mapping;10087;ASCII;EquipmentConstant;;Specifies the underlying I/O object.;False
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter;NumberOfDivisions;10088;I4;EquipmentConstant;;Define number of divisions of the flowmeter control.Unity: pixel;False
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter;NumberOfSubDivisions;10089;I4;EquipmentConstant;;Define number of sub divisions of the flowmeter control.Unity: pixel;False
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01;DispenseSystemName;10090;ASCII;EquipmentConstant;;;False
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter;Dispensevolume.Count;10091;F8;StatusVariable;ml;The current value of the counter.;not applicable
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter;Dispensevolume.Cycle;10092;F8;StatusVariable;ml;Specifies the cycle of the counter (a cycle of zero means infinite).;not applicable
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;CheckDelay;10093;U4;EquipmentConstant;ms;Specify the delay between 2 flow value checks.Unit: milliseconds;False
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;CheckDelayStart;10094;U4;EquipmentConstant;ms;Specify the delay between dispense start and beginning of flow value check. With this delay you can wait for flow/pressure to build up before starting check.Unit: milliseconds;False
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;InterruptLoad;10095;Boolean;EquipmentConstant;;Set this to true to interrupt load of substrate in case of an error.;False
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;InterruptNextProcessStep;10096;Boolean;EquipmentConstant;;Set this to true to interrupt execution of next recipe step in case of an error.;False
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;InterruptUnload;10097;Boolean;EquipmentConstant;;Set this to true to interrupt unload of substrate in case of an error.;False
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;MaxIdleFlow;10098;F4;EquipmentConstant;l/min;Specify the max idle flow value for the check which shouldn't be exceeded during idle (=bypass active). Applicable for bypassable dispense systems.Unit: l/min;False
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;MaxProcessFlow;10099;F4;EquipmentConstant;l/min;Specify the max process flow value for the check which shouldn't be exceeded.Unit: l/min;False
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;MinIdleFlow;10100;F4;EquipmentConstant;l/min;Specify the min idle flow value for the check which must be reached during idle (=bypass active). Applicable for bypassable dispense systems.Unit: l/min;False
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;MinProcessFlow;10101;F4;EquipmentConstant;l/min;Specify the min process flow value for the check which must be reached during process.Unit: l/min;False
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter;FlowMeterValue;10102;F4;StatusVariable;l/min;Current value of flowmeter;not applicable
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter.Gauge - Flowmeter - Flow;Mapping;10103;ASCII;EquipmentConstant;;Specifies the underlying I/O object.;False
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter;NumberOfDivisions;10104;I4;EquipmentConstant;;Define number of divisions of the flowmeter control.Unity: pixel;False
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter;NumberOfSubDivisions;10105;I4;EquipmentConstant;;Define number of sub divisions of the flowmeter control.Unity: pixel;False
GeminiFB.PP1.A.CLM.CleaningProcess;BrushOffSpinnerSpeed;10106;U4;EquipmentConstant;rpm;Enter the spinner speed in rpm when the brush should be stopped in process to avoid splashes from the brush onto the substrate.;False
