Subsystem;Name;VID;DataType;VariableType;Unit;Description;HOST Changeable
GeminiFB.PP2.D.EAM.Machine.ProcessParameterSet.HighAccuracyProcessParameter;PostInspectDistance;120952;F8;EquipmentConstant;nm;Distance where post inspect takes place.BottomStage Position = WEC - SubstrateThicknesses - BondChuckFlags (if equipped) - Post Inspect Distance.;False
GeminiFB.PP2.D.EAM.Machine.ProcessParameterSet.HighThroughputProcessParameter;BottomSubstrateThickness;120953;F8;EquipmentConstant;nm;Bottom Substrate Thickness for maintenance processes.;False
GeminiFB.PP2.D.EAM.Machine.ProcessParameterSet.HighThroughputProcessParameter;ContactDistance;120954;F8;EquipmentConstant;nm;Contact Distance.BottomStage Position = WEC - SubstrateThicknesses - BondChuckFlags (if equipped) - Contact Distance.;False
GeminiFB.PP2.D.EAM.Machine.ProcessParameterSet.HighThroughputProcessParameter;ContactSpeed;120955;F8;EquipmentConstant;nm/s;Speed for moving to contact position.;False
GeminiFB.PP2.D.EAM.Machine.ProcessParameterSet.HighThroughputProcessParameter;FastStableTime;120956;I4;EquipmentConstant;ms;Time between movement of the optics or top stage and capture of the pattern during the search cycle.;False
GeminiFB.PP2.D.EAM.Machine.ProcessParameterSet.HighThroughputProcessParameter;InspectDistance;120957;F8;EquipmentConstant;nm;Distance where inspect takes place.BottomStage Position = WEC - SubstrateThicknesses - BondChuckFlags (if equipped) - Inspect Distance.;False
GeminiFB.PP2.D.EAM.Machine.ProcessParameterSet.HighThroughputProcessParameter;InspectSpeed;120958;F8;EquipmentConstant;nm/s;Speed for moving to inspect position.;False
GeminiFB.PP2.D.EAM.Machine.ProcessParameterSet.HighThroughputProcessParameter;InspectStableTime;120959;I4;EquipmentConstant;ms;Time between movement of the optics and capture of the patterns during inspection cycle.;False
GeminiFB.PP2.D.EAM.Machine.ProcessParameterSet.HighThroughputProcessParameter;NanoStageStableTime;120960;I4;EquipmentConstant;ms;Time between movement of the nano stage and determination of the alignment correction value.;False
GeminiFB.PP2.D.EAM.Machine.ProcessParameterSet.HighThroughputProcessParameter;PostInspectDistance;120961;F8;EquipmentConstant;nm;Distance where post inspect takes place.BottomStage Position = WEC - SubstrateThicknesses - BondChuckFlags (if equipped) - Post Inspect Distance.;False
GeminiFB.PP2.D.EAM.Machine.ProcessParameterSet.HighThroughputProcessParameter;PrepositioningOpticTopStage;120962;Boolean;EquipmentConstant;;Pre-positioning of the optic and top stage.;False
GeminiFB.PP2.D.EAM.Machine.ProcessParameterSet.HighThroughputProcessParameter;SeparationDistance;120963;F8;EquipmentConstant;nm;Distance where the tables are swapping.BottomStage Position = WEC - SubstrateThicknesses - BondChuckFlags (if equipped) - Separation Distance.;False
GeminiFB.PP2.D.EAM.Machine.ProcessParameterSet.HighThroughputProcessParameter;TopSubstrateThickness;120964;F8;EquipmentConstant;nm;Top Substrate Thickness for maintenance processes.;False
GeminiFB.PP2.D.EAM.Machine.ProcessParameterSet.HighThroughputProcessParameter;VisionSetStableTime;120965;I4;EquipmentConstant;ms;Time after applying vision set.;False
